time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1717023600,186267,32.0,4.51,5.65
1717023600,128729,45.934,3.904,0.0
1717027200,186267,45.0,5.41,5.91
1717027200,128729,49.1,7.602,0.0
1717030800,128729,56.034,5.092,0.0
1717034400,186267,54.0,7.53,7.81
1717034400,128729,60.033,5.918,0.0
1717038000,186267,55.875,7.277,8.385
1717038000,128729,61.633,6.783,0.0
1717041600,128729,63.666,6.748,0.0
1717045200,186267,54.0,4.88,5.75
1717045200,128729,61.767,5.672,0.0
1717048800,186267,53.5,4.945,5.985
1717048800,128729,61.2,5.037,0.0
1717052400,186267,58.5,5.465,6.03
1717052400,128729,64.266,5.878,0.0
1717056000,128729,74.133,6.795,0.0
1717059600,128729,77.666,6.867,0.0
1717063200,186267,71.0,6.71,8.44
1717063200,128729,77.233,6.625,0.0
1717066800,186267,72.0,7.72,8.63
1717066800,128729,77.7,6.492,0.0
1717070400,128729,79.0,5.918,0.0
1717074000,186267,73.5,6.095,7.505
1717074000,128729,79.0,5.486,0.0
1717077600,186267,70.5,5.39,6.135
1717077600,128729,78.033,5.139,0.0
1717081200,186267,66.5,5.703,6.252
1717081200,128729,75.334,5.495,0.0
1717084800,186267,63.0,5.12,5.52
1717084800,128729,71.7,5.122,0.0
1717088400,186267,63.0,5.86,6.2
1717088400,128729,70.133,5.386,0.0
1717092000,186267,55.75,5.474,6.811
1717092000,128729,65.867,5.515,0.0
1717095600,186267,51.25,5.159,6.192
1717095600,128729,59.967,5.375,0.0
1717099200,186267,45.583,4.506,5.153
1717099200,128729,55.6,5.019,0.0
1717102800,186267,45.584,4.145,4.885
1717102800,128729,56.034,4.347,0.0
1717106400,128729,55.133,3.907,0.0
1717110000,186267,58.0,4.51,4.75
1717110000,128729,59.233,7.442,0.0
1717113600,128729,65.1,9.529,0.0
1717117200,186267,65.0,7.875,8.44
1717117200,128729,68.233,8.003,0.0
1717120800,186267,66.0,7.88,9.02
1717120800,128729,70.022,5.453,0.0
1717124400,186267,67.0,6.41,8.38
1717124400,128729,70.633,4.854,0.0
1717128000,186267,68.75,6.98,7.785
1717128000,128729,70.3,4.963,0.0
1717131600,186267,63.0,6.23,7.195
1717131600,128729,70.0,4.965,0.0
1717135200,186267,63.0,6.125,7.25
1717135200,128729,70.334,5.265,0.0
1717138800,186267,65.5,5.38,6.955
1717138800,128729,70.767,4.952,0.0
1717142400,186267,66.0,5.13,6.605
1717142400,128729,69.867,4.668,0.0
1717146000,186267,66.0,4.51,6.45
1717146000,128729,69.567,4.386,0.0
1717149600,186267,67.0,5.53,6.37
1717149600,128729,69.334,5.183,0.0
1717153200,186267,58.0,5.03,4.88
1717153200,128729,63.234,4.872,0.0
1717156800,186267,45.0,4.098,4.47
1717156800,128729,51.7,4.363,0.0
1717160400,128729,39.767,3.766,0.0
1717164000,128729,30.934,3.578,0.0
1717167600,186267,25.527,4.513,5.529
1717167600,128729,28.166,4.117,0.0
1717171200,186267,23.666,4.466,5.766
1717171200,128729,25.6,4.416,0.0
1717174800,186267,23.0,4.22,5.25
1717174800,128729,22.0,4.28,0.0
1717178400,186267,21.5,4.88,4.995
1717178400,128729,24.767,4.613,0.0
1717182000,186267,20.875,4.569,5.331
1717182000,128729,28.4,4.336,0.0
1717185600,186267,16.25,4.625,5.92
1717185600,128729,28.267,4.47,0.0
1717189200,186267,16.0,4.48,5.4
1717189200,128729,26.2,5.114,0.0
1717192800,128729,25.4,4.865,0.0
1717196400,186267,27.0,5.39,6.03
1717196400,128729,32.034,5.153,0.0
1717200000,186267,30.5,24.135,24.875
1717200000,128729,37.666,5.293,0.0
1717203600,186267,39.0,42.67,42.16
1717203600,128729,47.466,7.668,0.0
1717207200,186267,43.0,14.11,15.69
1717207200,128729,53.666,9.37,0.0
1717210800,186267,53.0,9.3,12.39
1717210800,128729,58.5,12.867,0.0
1717214400,186267,56.0,12.74,14.98
1717214400,128729,62.6,11.425,0.0
1717218000,186267,61.0,12.55,14.21
1717218000,128729,64.367,11.248,0.0
1717221600,128729,65.3,11.276,0.0
1717225200,128729,66.2,10.233,0.0
1717228800,128729,66.867,10.313,0.0
1717232400,186267,56.0,5.77,7.62
1717232400,128729,67.566,9.247,0.0
1717236000,128729,65.934,8.39,0.0
1717239600,186267,57.0,7.77,7.91
1717239600,128729,59.4,6.167,0.0
1717243200,186267,39.0,5.25,6.24
1717243200,128729,48.133,5.331,0.0
1717246800,186267,34.5,5.9,6.925
1717246800,128729,37.834,5.134,0.0
1717250400,186267,28.5,5.47,6.195
1717250400,128729,33.034,5.082,0.0
1717254000,186267,23.5,5.56,5.73
1717254000,128729,25.7,5.481,0.0
1717257600,186267,21.5,5.23,5.785
1717257600,128729,20.166,4.571,0.0
1717261200,128729,19.5,4.798,0.0
1717264800,186267,20.0,5.215,4.835
1717264800,128729,23.133,5.163,0.0
1717268400,128729,24.233,5.191,0.0
1717272000,186267,15.0,5.13,5.77
1717272000,128729,26.767,5.476,0.0
1717275600,128729,27.967,5.332,0.0
1717279200,128729,27.4,5.752,0.0
1717282800,128729,34.0,11.656,0.0
1717286400,186267,35.0,27.16,27.865
1717286400,128729,40.067,16.106,0.0
1717290000,128729,44.566,8.966,0.0
1717293600,128729,48.334,12.268,0.0
1717297200,128729,54.334,19.554,0.0
1717300800,128729,59.466,14.083,0.0
1717304400,186267,57.0,22.45,26.54
1717304400,128729,63.533,14.02,0.0
1717308000,128729,63.2,14.631,0.0
1717311600,128729,64.333,14.234,0.0
1717315200,128729,65.7,13.226,0.0
1717318800,128729,66.6,12.745,0.0
1717322400,186267,66.0,12.66,14.5
1717322400,128729,66.067,11.822,0.0
1717326000,186267,64.0,10.38,11.72
1717326000,128729,62.867,9.981,0.0
1717329600,186267,54.0,9.62,11.65
1717329600,128729,57.466,9.873,0.0
1717333200,128729,51.933,9.476,0.0
1717336800,128729,45.5,8.924,0.0
1717340400,128729,40.066,10.418,0.0
1717344000,186267,34.0,8.63,8.62
1717344000,128729,28.7,5.984,0.0
1717347600,128729,27.133,5.391,0.0
1717351200,128729,31.233,5.554,0.0
1717354800,186267,21.0,5.68,6.35
1717354800,128729,28.967,4.78,0.0
1717358400,186267,16.0,5.19,5.33
1717358400,128729,27.3,4.723,0.0
1717362000,128729,30.267,5.878,0.0
1717365600,186267,24.0,7.95,9.25
1717365600,128729,34.4,9.109,0.0
1717369200,128729,39.333,8.397,0.0
1717372800,128729,41.466,16.003,0.0
1717376400,128729,43.767,16.169,0.0
1717380000,128729,44.2,11.931,0.0
1717383600,128729,45.633,11.394,0.0
1717387200,128729,47.8,11.773,0.0
1717390800,186267,51.0,15.93,17.82
1717390800,128729,50.7,12.459,0.0
1717394400,128729,56.166,13.332,0.0
