time(seconds),sensor id,humidity,PM_2.5A,PM_2.5B
1724187600,128729,53.4,1.534,1.595
1724230800,128729,72.0,3.298,3.236
1724234400,128729,72.2,3.341,3.356
1725145200,128729,60.034,4.992,5.172
1724238000,128729,70.0,3.261,3.32
1724684400,128729,49.2,21.793,22.51
1725138000,128729,55.867,2.99,2.975
1726988400,128729,82.0,3.513,3.594
1724241600,128729,64.5,3.619,3.582
1724461200,128729,62.5,15.387,16.806
1724680800,128729,57.466,22.31,23.818
1724922000,128729,51.7,2.95,2.889
1725152400,128729,68.666,5.094,5.114
1726765200,128729,60.433,4.043,3.958
1726981200,128729,82.0,3.293,3.236
1727226000,128729,65.0,3.596,3.623
1724205600,128729,68.666,7.131,7.418
1724335200,128729,50.7,0.911,0.744
1724443200,128729,39.434,8.509,9.091
1724558400,128729,70.9,27.259,29.1
1724670000,128729,74.534,22.603,24.87
1724788800,128729,43.5,19.551,20.587
1724900400,128729,52.367,4.224,4.439
1725015600,128729,68.9,3.486,3.155
1725127200,128729,50.4,3.058,3.114
1725253200,128729,77.534,15.839,16.95
1725364800,128729,57.566,2.364,2.395
1726862400,128729,71.466,10.29,10.268
1726970400,128729,81.666,3.503,3.334
1727089200,128729,74.767,2.542,2.538
1727200800,128729,56.233,2.503,2.474
1727316000,128729,65.8,1.189,1.176
1724198400,128729,61.0,3.575,3.697
1724263200,128729,44.0,3.148,3.145
1724317200,128729,71.0,2.928,2.861
1724374800,128729,63.867,7.029,7.314
1724428800,128729,35.6,7.983,8.284
1724490000,128729,71.9,14.609,16.056
1724544000,128729,57.7,22.609,24.709
1724601600,128729,42.733,19.17,20.268
1724659200,128729,73.034,20.682,22.928
1724724000,128729,77.733,14.284,15.432
1724778000,128729,46.834,18.401,19.425
1724835600,128729,68.0,18.956,20.583
1724889600,128729,56.166,3.774,3.675
1724950800,128729,44.867,3.468,3.317
1725004800,128729,69.933,2.879,2.829
1725062400,128729,54.233,1.7,1.648
1725120000,128729,48.433,3.204,3.295
1725184800,128729,73.566,5.619,5.986
1725238800,128729,73.434,15.966,17.195
1725296400,128729,31.434,4.179,4.056
1725350400,128729,60.534,2.303,2.321
1726790400,128729,65.633,1.909,1.74
1726848000,128729,70.633,8.899,9.212
1726905600,128729,79.333,3.397,3.482
1726963200,128729,83.966,2.881,2.656
1727028000,128729,55.4,2.715,2.463
1727082000,128729,72.3,2.32,2.22
1727139600,128729,64.7,3.611,3.739
1727193600,128729,64.834,3.088,3.058
1727251200,128729,71.0,3.796,4.031
1727308800,128729,63.233,2.147,1.95
1727366400,128729,77.133,3.689,3.909
1729195200,222275,33.666,2.442,2.3
1724202000,128729,66.133,4.633,4.585
1724248800,128729,53.3,2.819,2.833
1724274000,128729,46.633,3.56,3.681
1724302800,128729,68.934,4.142,4.216
1724328000,128729,62.967,2.471,2.44
1724360400,128729,46.7,3.19,3.157
1724385600,128729,70.867,7.292,7.781
1724414400,128729,66.5,8.113,8.46
1724439600,128729,35.367,8.502,8.822
1724475600,128729,71.0,13.264,14.101
1724500800,128729,67.0,12.656,13.453
1724529600,128729,39.833,9.464,9.969
1724554800,128729,69.8,25.029,27.3
1724587200,128729,67.2,19.193,21.197
1724612400,128729,46.033,18.751,20.038
1724641200,128729,68.7,19.77,22.014
1724666400,128729,74.433,22.283,24.407
1724706000,128729,70.167,15.277,16.41
1724731200,128729,78.034,12.878,13.68
1724760000,128729,75.8,12.66,13.37
1724785200,128729,46.067,19.215,20.768
1724817600,128729,68.966,21.282,22.447
1724842800,128729,69.0,20.209,21.58
1724871600,128729,53.433,15.69,16.47
1724896800,128729,54.0,3.764,3.679
1724932800,128729,56.034,3.159,3.083
1724958000,128729,43.233,3.204,3.17
1724986800,128729,63.834,2.872,2.76
1725012000,128729,70.2,2.755,2.709
1725044400,128729,41.267,0.492,0.41
1725069600,128729,64.567,2.97,2.92
1725098400,128729,73.1,4.929,4.999
1725123600,128729,50.0,3.099,3.185
1725166800,128729,73.034,5.839,6.138
1725192000,128729,71.3,7.886,8.299
1725220800,128729,67.6,11.803,12.453
1725246000,128729,75.034,15.654,16.925
1725278400,128729,52.3,4.716,4.941
1725303600,128729,31.434,3.415,3.273
1725332400,128729,46.334,1.445,1.31
1725357600,128729,65.233,2.091,2.138
1726776000,128729,62.061,1.964,1.867
1726801200,128729,75.3,1.542,1.536
1726830000,128729,79.633,5.981,6.063
1726855200,128729,72.4,7.685,7.72
1726887600,128729,71.034,5.146,5.194
1726912800,128729,82.233,3.45,3.312
1726941600,128729,84.367,2.027,1.812
1726966800,128729,82.166,2.76,2.479
1727006400,128729,79.066,4.029,4.042
1727031600,128729,51.8,2.774,2.523
1727060400,128729,67.1,2.112,1.944
1727085600,128729,72.967,2.409,2.35
1727118000,128729,52.966,2.138,1.96
1727143200,128729,66.334,2.709,2.749
1727172000,128729,73.166,3.142,3.305
1727197200,128729,59.633,2.752,2.73
1727233200,128729,67.434,3.676,3.639
1727258400,128729,72.1,4.308,4.558
1727287200,128729,54.6,2.244,2.37
1727312400,128729,64.934,1.57,1.415
1727344800,128729,73.8,1.149,1.032
1728921600,128729,78.466,3.439,3.708
1729195200,128729,44.034,2.785,2.864
1724194800,128729,55.867,3.035,3.015
1724212800,128729,70.966,4.629,4.573
1724245200,128729,57.534,3.355,3.516
1724256000,128729,41.45,2.897,2.99
1724270400,128729,45.133,3.227,3.33
1724284800,128729,56.3,4.227,4.484
1724299200,128729,67.433,4.273,4.416
1724310000,128729,70.933,2.883,2.897
1724324400,128729,68.933,2.761,2.604
1724338800,128729,45.667,0.54,0.353
1724356800,128729,46.034,2.505,2.565
1724367600,128729,54.933,4.73,5.12
1724382000,128729,69.4,7.017,7.45
1724396400,128729,71.834,6.633,7.046
1724410800,128729,70.034,7.271,7.776
1724421600,128729,48.133,8.184,8.274
1724436000,128729,34.266,8.704,9.088
1724450400,128729,43.733,9.081,9.683
1724472000,128729,70.6,14.178,15.034
1724482800,128729,72.2,14.195,15.187
1724497200,128729,69.934,11.616,12.509
1724511600,128729,38.166,9.394,9.826
1724526000,128729,38.867,9.48,9.777
1724536800,128729,45.367,14.255,14.944
1724551200,128729,67.4,25.77,27.85
1724565600,128729,71.233,22.896,24.988
1724583600,128729,70.0,20.566,22.303
1724594400,128729,53.034,18.053,19.02
1724608800,128729,45.233,19.864,21.377
1724623200,128729,48.333,20.204,22.01
1724637600,128729,65.5,18.965,20.831
1724648400,128729,71.867,20.665,22.879
1724662800,128729,73.5,21.398,22.968
1724677200,128729,64.7,24.624,26.67
1724698800,128729,62.966,22.07,23.852
1724713200,128729,78.934,14.537,15.533
1724727600,128729,77.834,14.226,15.48
1724742000,128729,76.9,11.2,11.686
1724756400,128729,76.767,11.463,11.818
1724767200,128729,64.334,15.695,16.737
1724781600,128729,45.967,19.352,20.208
1724796000,128729,46.367,17.867,19.645
1724814000,128729,68.934,20.501,22.399
1724824800,128729,66.534,18.922,20.442
1724839200,128729,69.733,19.256,20.956
1724853600,128729,57.6,23.276,24.586
1724868000,128729,51.6,15.77,16.352
1724878800,128729,52.6,9.604,10.384
1724893200,128729,57.367,3.615,3.729
1724907600,128729,52.4,5.166,5.21
1724929200,128729,55.666,4.018,4.035
1724940000,128729,52.834,3.271,3.091
1724954400,128729,44.267,3.167,3.105
1724968800,128729,46.633,2.798,2.75
1724983200,128729,58.3,3.452,3.42
1724994000,128729,67.5,2.573,2.547
1725008400,128729,70.8,2.91,2.795
1725022800,128729,59.133,1.853,1.801
1725040800,128729,41.933,0.606,0.415
1725051600,128729,43.867,0.689,0.458
1725066000,128729,59.617,2.219,2.248
1725080400,128729,70.7,3.209,3.17
1725094800,128729,72.7,4.563,4.62
1725105600,128729,72.3,5.8,6.105
1725116400,128729,54.4,2.532,2.542
1725134400,128729,52.367,2.869,2.933
1725163200,128729,73.966,6.087,6.44
